date,store,item,sales
1/1/2019,1,1,13
2/1/2019,1,1,11
3/1/2019,1,1,14
4/1/2019,1,1,13
5/1/2019,1,1,10
6/1/2019,1,1,12
7/1/2019,1,1,10
8/1/2019,1,1,9
9/1/2019,1,1,12
10/1/2019,1,1,9
11/1/2019,1,1,9
12/1/2019,1,1,7
13/1/2019,1,1,10
14/1/2019,1,1,12
15/1/2019,1,1,5
16/1/2019,1,1,7
17/1/2019,1,1,16
18/1/2019,1,1,7
19/1/2019,1,1,18
20/1/2019,1,1,15
21/1/2019,1,1,8
22/1/2019,1,1,7
23/1/2019,1,1,9
24/1/2019,1,1,8
25/1/2019,1,1,14
26/1/2019,1,1,12
27/1/2019,1,1,12
28/1/2019,1,1,11
29/1/2019,1,1,6
30/1/2019,1,1,9
31/1/2019,1,1,13
1/2/2019,1,1,11
2/2/2019,1,1,21
3/2/2019,1,1,15
4/2/2019,1,1,14
5/2/2019,1,1,9
6/2/2019,1,1,10
7/2/2019,1,1,13
8/2/2019,1,1,11
9/2/2019,1,1,14
10/2/2019,1,1,11
11/2/2019,1,1,16
12/2/2019,1,1,11
13/2/2019,1,1,14
14/2/2019,1,1,10
15/2/2019,1,1,11
16/2/2019,1,1,7
17/2/2019,1,1,11
18/2/2019,1,1,10
19/2/2019,1,1,10
20/2/2019,1,1,7
21/2/2019,1,1,13
22/2/2019,1,1,12
23/2/2019,1,1,15
24/2/2019,1,1,11
25/2/2019,1,1,7
26/2/2019,1,1,9
27/2/2019,1,1,9
28/2/2019,1,1,10
1/3/2019,1,1,15
2/3/2019,1,1,13
3/3/2019,1,1,20
4/3/2019,1,1,14
5/3/2019,1,1,13
6/3/2019,1,1,17
7/3/2019,1,1,11
8/3/2019,1,1,15
9/3/2019,1,1,16
10/3/2019,1,1,11
11/3/2019,1,1,18
12/3/2019,1,1,14
13/3/2019,1,1,13
14/3/2019,1,1,10
15/3/2019,1,1,14
16/3/2019,1,1,10
17/3/2019,1,1,22
18/3/2019,1,1,11
19/3/2019,1,1,19
20/3/2019,1,1,14
21/3/2019,1,1,17
22/3/2019,1,1,21
23/3/2019,1,1,21
24/3/2019,1,1,19
25/3/2019,1,1,13
26/3/2019,1,1,16
27/3/2019,1,1,11
28/3/2019,1,1,13
29/3/2019,1,1,17
30/3/2019,1,1,19
31/3/2019,1,1,20
1/4/2019,1,1,11
2/4/2019,1,1,19
3/4/2019,1,1,24
4/4/2019,1,1,18
5/4/2019,1,1,19
6/4/2019,1,1,23
7/4/2019,1,1,17
8/4/2019,1,1,19
9/4/2019,1,1,13
10/4/2019,1,1,19
11/4/2019,1,1,16
12/4/2019,1,1,18
13/4/2019,1,1,17
14/4/2019,1,1,26
15/4/2019,1,1,14
16/4/2019,1,1,9
17/4/2019,1,1,17
18/4/2019,1,1,21
19/4/2019,1,1,22
20/4/2019,1,1,22
21/4/2019,1,1,20
22/4/2019,1,1,13
23/4/2019,1,1,11
24/4/2019,1,1,13
25/4/2019,1,1,14
26/4/2019,1,1,20
27/4/2019,1,1,22
28/4/2019,1,1,19
29/4/2019,1,1,11
30/4/2019,1,1,15
1/5/2019,1,1,16
2/5/2019,1,1,23
3/5/2019,1,1,22
4/5/2019,1,1,20
5/5/2019,1,1,14
6/5/2019,1,1,14
7/5/2019,1,1,15
8/5/2019,1,1,14
9/5/2019,1,1,11
10/5/2019,1,1,16
11/5/2019,1,1,19
12/5/2019,1,1,13
13/5/2019,1,1,9
14/5/2019,1,1,13
15/5/2019,1,1,16
16/5/2019,1,1,15
17/5/2019,1,1,16
